Product Name,Description,Price (USD),Type,Interval,Features,Tax Code,Statement Descriptor,Unit Label,Category,Metadata
Package A - Starter PM,"5-10 hours/week of professional project management. Perfect for small projects.",1750,recurring,month,"5-10 hours/week PM time|Single project focus|Email support (48hr response)|Weekly progress reports|Basic task tracking|Contractor coordination|Budget monitoring",txcd_10301000,KEALEE PKG A,,packages,package_tier:A;hours_per_week:5-10;project_limit:1
Package B - Professional PM,"15-20 hours/week of professional project management. Ideal for growing projects.",4500,recurring,month,"15-20 hours/week PM time|Up to 3 concurrent projects|Priority email & phone support|Bi-weekly progress reports|Advanced project tracking|Full contractor coordination|Budget optimization|Risk management",txcd_10301000,KEALEE PKG B,,packages,package_tier:B;hours_per_week:15-20;project_limit:3;popular:true
Package C - Premium PM,"30-40 hours/week of dedicated project management. Comprehensive support for complex projects.",8500,recurring,month,"30-40 hours/week PM time|Unlimited projects|24/7 priority support|Daily progress reports|Dedicated PM assigned|Full contractor management|Budget optimization & forecasting|Advanced risk management|Quality control inspections|Owner representation at meetings",txcd_10301000,KEALEE PKG C,,packages,package_tier:C;hours_per_week:30-40;project_limit:unlimited;support_level:premium;dedicated_pm:true
Package D - Enterprise PM,"40+ hours/week of enterprise-level project management. White-glove service for portfolio management.",16500,recurring,month,"40+ hours/week PM time|Portfolio management|Dedicated account manager|Custom reporting & analytics|Strategic planning support|Multi-project coordination|Executive-level insights|White-glove service|Custom integrations|On-site visits included",txcd_10301000,KEALEE PKG D,,packages,package_tier:D;hours_per_week:40+;project_limit:unlimited;support_level:enterprise;dedicated_pm:true;account_manager:true
Architecture Package A - Design Consultation,"Professional architectural consultation for small projects. Includes conceptual design and space planning.",2500,one_time,,"Initial consultation (2 hours)|Site analysis|Conceptual design (1-2 options)|Basic floor plans|Preliminary budget estimate|1 revision round|Digital delivery",txcd_10301000,KEALEE ARCH A,,architecture,package_tier:A;project_size:small;square_footage:up to 1,500;revisions:1;includes_stamping:false
Architecture Package B - Residential Design,"Complete residential design package including architectural drawings, 3D renderings, and permit-ready plans.",7500,one_time,,"Comprehensive site analysis|Conceptual design (3-4 options)|Detailed floor plans|Elevations & sections|3D renderings (3 views)|Material selections|Permit-ready drawings|PE/Architect stamp|2 revision rounds",txcd_10301000,KEALEE ARCH B,,architecture,package_tier:B;project_size:medium;square_footage:1,500-3,500;revisions:2;includes_stamping:true;popular:true
Architecture Package C - Full Service Design,"Comprehensive architectural services from concept through construction administration.",15000,one_time,,"Full design development|Detailed construction documents|Structural engineering coordination|MEP coordination|Specifications & details|Multiple 3D renderings|Interior design consultation|Permit application support|Construction administration (limited)|3 revision rounds",txcd_10301000,KEALEE ARCH C,,architecture,package_tier:C;project_size:large;square_footage:3,500-6,000;revisions:3;includes_stamping:true;includes_engineering:true;includes_ca:true
Architecture Package D - Premium Custom Design,"Luxury architectural services with full design team. Includes all disciplines and unlimited revisions.",35000,one_time,,"Dedicated design team|Luxury home specialization|Complete design development|Full construction documents|Structural & MEP engineering|Landscape architecture|Interior architecture|Custom specifications|Unlimited revisions|Full construction administration|Site visits & inspections|As-built documentation",txcd_10301000,KEALEE ARCH D,,architecture,package_tier:D;project_size:custom;square_footage:6,000+;revisions:unlimited;includes_stamping:true;includes_engineering:true;includes_ca:true;includes_landscape:true;includes_interior:true
Permit Application Assistance,"Professional help with permit applications, resubmittals, and jurisdiction communications.",495,one_time,,"Application review & preparation|Document compilation|Jurisdiction submissions|Follow-up communications|Resubmittal support|Status tracking",txcd_10301000,KEALEE PERMIT,application,permits,turnaround:2-3_days;includes_revisions:true

